Chemical_class,SA.A_TSB_A,SA.A_TSB_B,SA.A_TSB_C,SA.A_TSB_D,SA.A_TSB_E,SA.B_TSB_A,SA.B_TSB_B,SA.B_TSB_C,SA.B_TSB_D,SA.B_TSB_E,SA.A_BHI_A,SA.A_BHI_B,SA.A_BHI_C,SA.A_BHI_D,SA.A_BHI_E,SA.B_BHI_A,SA.B_BHI_B,SA.B_BHI_C,SA.B_BHI_D,SA.B_BHI_E,SA.A_LB_A,SA.A_LB_B,SA.A_LB_C,SA.A_LB_D,SA.A_LB_E,SA.B_LB_A,SA.B_LB_B,SA.B_LB_C,SA.B_LB_D,SA.B_LB_E,PA.A_BHI_A,PA.A_BHI_B,PA.A_BHI_C,PA.A_BHI_D,PA.A_BHI_E,PA.B_BHI_A,PA.B_BHI_B,PA.B_BHI_C,PA.B_BHI_D,PA.B_BHI_E,PA.A_LB_A,PA.A_LB_B,PA.A_LB_C,PA.A_LB_D,PA.A_LB_E,PA.B_LB_A,PA.B_LB_B,PA.B_LB_C,PA.B_LB_D,PA.B_LB_E,PA.A_TSB_A,PA.A_TSB_B,PA.A_TSB_C,PA.A_TSB_D,PA.B_TSB_A,PA.B_TSB_B,PA.B_TSB_C,EC.A_BHI_A,EC.A_BHI_B,EC.A_BHI_C,EC.A_BHI_D,EC.B_BHI_A,EC.B_BHI_B,EC.B_BHI_C,EC.A_LB_A,EC.A_LB_B,EC.A_LB_C,EC.A_LB_D,EC.A_LB_E,EC.B_LB_A,EC.B_LB_B,EC.B_LB_C,EC.B_LB_D,EC.B_LB_E,EC.A_TSB_A,EC.A_TSB_B,EC.A_TSB_C,EC.A_TSB_D,EC.A_TSB_E,EC.B_TSB_A,EC.B_TSB_B,EC.B_TSB_C,EC.B_TSB_D,EC.B_TSB_E
Ester,465374,193151,403286,129833,117105,316764,141636,292548,0,588447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72782,158092,154266,165447,257291,0,245490,464030,0,216975,0,0,0,0,0,0,0,0,0,0,102838,366196,168119,0,224198,191043,0,1335746,1077717,893609,809390,608402,947309,961495,155389,55674,206308,0,0,138406,157208,108232,0,0,887825,670603,576884,636851,,119313,128397,309004,548442,339404
Alcohol,1027715,1050974,1850391,5140770,3422557,914667,801684,1037912,7091491,8155560,3054748,909704,2419195,3195134,1208273,3077081,1659016,376521,1910296,1220898,0,0,0,0,0,0,0,0,0,0,119451,0,2755630,2864780,2979582,123501,5398605,1418380,1132339,1972423,0,2100747,0,0,0,0,0,71200,0,0,407274,105844,201974,100302,213164,113006,100112,10739591,7443452,6250253,7626831,3717130,5157444,6648458,1010300,833894,1059453,1038526,746145,0,0,0,0,0,7585417,7461659,2372532,5114072,7870420,1364553,1451138,5650813,3588158,3962927
Fatty acid ethyl ester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127719,99116,83418,175461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ketone,1289650,504113,1169501,1926072,246751,560337,497068,1102211,1336035,1737916,832334,444238,540199,877468,371852,501780,397547,73257,523353,500776,320965,886309,515572,868238,0,840146,1392228,785128,1526229,0,217717,449020,2741250,229514,0,405146,738399,2816991,601736,601858,4593791,1556357,818478,925725,635916,1443975,430258,612393,521478,1257192,312919,922111,790827,484660,809906,531903,219493,3891622,2439108,2314358,2591269,2973792,2507968,2460826,3917970,1895126,199890,0,0,2601103,2591407,2278562,0,0,673781,592162,468142,559183,1225829,169495,359499,875905,637563,2988409
Alkane,800581,294680,15,124282,0,456376,408709,710674,470055,201138,0,0,0,0,0,0,0,0,0,0,0,0,210972,209747,0,156567,245113,66082,548037,0,0,0,0,0,0,552437,0,919172,0,0,2992449,0,952843,872643,564067,0,1105838,920844,726757,0,416155,405410,185434,454496,706936,512688,0,664734,522829,524002,604543,0,0,552271,735781,368391,457109,199127,0,413560,258187,414624,0,0,0,0,0,0,0,0,0,0,0,348154
Ketone,324424,189630,228163,0,0,167165,152829,228457,0,0,0,0,0,0,0,0,0,0,0,0,68518,0,657995,801038,0,1309090,1062848,1309090,610468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,878501,1044023,920649,524710,932763,1026786,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcohol,73015,0,73558,188367,0,90157,139948,53152,210357,295857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103953,50444,105840,71194,0,80981,295319,111457,0,0,0,171282,0,0,153432,759098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353713,152483,135522,115800,0,204422,140271,528832,160664,365507,0,0,369097,333096,324672,0,0,58040,62292,0,0,101495,0,0,109170,60834,694251
Fatty acid ethyl ester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,485375,376964,652996,841665,0,719792,1341476,1437190,1098813,691874,0,0,0,0,0,0,109543,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214722,0,149294,0,196600,0,0,0,0,0,0,173727,138071,0,82601,69547,0,89753,63628,381024,158705,180890,0,0,261039,148155,177119,0,0,0,0,0,0,0,0,0,0,0,0
Ester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93385,0,79278,0,0,0,0,0,0,260184,138973,206705,216432,0,331291,186812,186812,297159,216150,0,440817,634921,0,290888,553733,608115,539042,264088,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1550481,1682575,1821750,1417005,843090,0,0,133992,0,0,0,0,152410,171493,0,0,0,310852,483269,0
Ester,82772,0,0,0,0,83504,51098,238186,0,0,0,87526,361484,218833,83403,327621,352289,,278677,188055,0,117584,142709,74742,153016,202591,137363,210770,130858,135461,83263,113029,221152,114655,94646,0,0,195548,0,154471,348919,227796,172824,285764,85577,308465,173497,267753,185840,325764,180978,350140,120517,96861,203944,236598,164078,154284,112048,88526,85508,128022,90122,131277,82608,62721,91226,0,0,0,68374,58623,0,0,77057,52672,66285,0,0,0,0,0,0,0
Fatty acid ethyl ester,1019655,245397,494407,2198502,960937,548057,287712,909496,2062898,2011638,1584145,223992,1396163,1330370,878070,1642725,1285637,183205,1134439,1013838,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ketone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56785,0,75813,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,149124,113513,95518,103160,140813,116323,123060,183084,77576,146555,0,0,137297,160630,116084,0,0,79276,68747,0,0,0,0,0,97651,77088,150367
Nitrile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105966,86354,67095,0,0,105656,68534,53025,0,0,0,0,0,52938,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcohol,139019,219733,196279,375976,93132,179831,84934,0,358759,427533,376746,151707,371331,291548,79387,474857,285977,0,285037,215072,53102,175955,289375,126650,85438,263104,154327,309708,207946,530923,218656,63315,0,164087,218357,246595,213899,253310,0,0,380392,282434,0,0,60927,0,0,114084,125236,106088,613288,533119,358184,528587,436552,492060,0,636845,392103,275232,189839,139641,0,262306,501035,259701,555535,56244,53025,435021,444798,425365,0,0,150443,0,50584,90291,0,54155,54486,180005,114343,479434
Alcohol,0,0,0,197683,66816,0,0,0,155158,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79679,80637,108080,0,0,0,0,0,0,302615,0,0,93933,0,0,0,0,50818,77304,0,138682,96881,61466,0,64027,76978,173087,110047,76816,73358,60794,138306,53366,76840,0,96188,0,0,60756,78297,88191,0,0,0,125917,0,0,0,0,0,62168,0,56195
Alcohol,0,56594,124321,53549,0,0,0,0,0,54860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360410,0,250118,213643,493008,528402,0,603395,0,0,1287201,0,295691,385151,170196,309470,451246,282138,229256,313564,1220117,1405586,1206319,768442,1209988,2282603,585679,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ester,111465,0,0,0,0,0,0,67248,0,0,0,0,0,0,0,156927,136592,0,0,101554,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alkene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1836055,4758693,3243667,2178787,3249923,1400568,7765793,4007625,9898560,9991209,8342977,2459069,6362319,4710524,1546224,11316169,6330153,10477684,8408280,6122284,1089098,1586875,0,2178707,12921628,7584736,12179961,,,,,,,,,,,,,,,,,,,,,,,,,,,
