Time,OD_A,OD_B,OD_C,OD_AVG,OD_SD,A,B,C,Abundance,SD,Strain
0,0.1,0.1,0.1,0.1,1.69967E-17,0,0,0,0,0,EC_A
1,0.25,0.45,0.35,0.35,0.1,0,0,0,0,0,EC_A
2,0.85,0.9,0.95,0.9,0.05,0,0,67781,22593.66667,39133.3786,EC_A
3,1.4,1.8,1.55,1.583333333,0.202072594,88626,0,229898,106174.6667,115949.2966,EC_A
4,1.8,1.95,1.75,1.833333333,0.1040833,843159,127543,260773,410491.6667,380576.3054,EC_A
5,1.8,2,1.9,1.9,0.1,2465753,379443,1679133,1508109.667,1053617.146,EC_A
6,1.8,2,1.9,1.9,0.1,696715,402245,1225333,774764.3333,417057.835,EC_A
7,1.8,2,1.9,1.9,0.1,1459197,493097,1455724,1136006,556778.2343,EC_A
8,1.8,2.3,2.3,2.133333333,0.288675135,1887290,309784,3428673,1875249,1559479.364,EC_A
24,2.9,3.6,3.9,3.466666667,0.513160144,1384152,866387,2043822,1431453.667,590140.9836,EC_A
0,0.1,0.1,0.1,0.1,1.69967E-17,0,0,0,0,0,EC_B
1,0.4,0.85,0.35,0.533333333,0.275378527,0,0,0,0,0,EC_B
2,1.3,1.65,0.95,1.3,0.35,0,0,0,0,0,EC_B
3,2,3,2.8,2.6,0.529150262,0,0,0,0,0,EC_B
4,3.05,3.7,2.8,3.183333333,0.464578662,0,0,0,0,0,EC_B
5,3.05,3.7,2.8,3.183333333,0.464578662,0,0,0,0,0,EC_B
6,3,3.75,2.85,3.2,0.482182538,0,0,0,0,0,EC_B
7,3,3.7,3.05,3.25,0.390512484,0,0,0,0,0,EC_B
8,3.05,4.25,3.45,3.583333333,0.611010093,0,0,0,0,0,EC_B
24,4.1,3.8,4.25,4.05,0.229128785,0,0,0,0,0,EC_B
0,0.1,0.1,0.1,0.1,1.69967E-17,0,0,0,0,0,EC_A
1,0.25,0.45,0.35,0.35,0.1,0,0,0,0,0,EC_A
2,0.85,0.9,0.95,0.9,0.05,0,0,0,0,0,EC_A
3,1.4,1.8,1.55,1.583333333,0.202072594,0,0,0,0,0,EC_A
4,1.8,1.95,1.75,1.833333333,0.1040833,0,0,0,0,0,EC_A
5,1.8,2,1.9,1.9,0.1,0,0,0,0,0,EC_A
6,1.8,2,1.9,1.9,0.1,0,0,0,0,0,EC_A
7,1.8,2,1.9,1.9,0.1,0,0,0,0,0,EC_A
8,1.8,2.3,2.3,2.133333333,0.288675135,0,0,0,0,0,EC_A
24,2.9,3.6,3.9,3.466666667,0.513160144,0,0,0,0,0,EC_A
0,0.1,0.1,0.1,0.1,1.69967E-17,0,0,0,0,0,EC_B
1,0.4,0.85,0.35,0.533333333,0.275378527,0,0,273799,91266.33333,158077.9264,EC_B
2,1.3,1.65,0.95,1.3,0.35,372728,495664,527415,465269,81700.11635,EC_B
3,2,3,2.8,2.6,0.529150262,1123440,1736756,631519,1163905,553728.5153,EC_B
4,3.05,3.7,2.8,3.183333333,0.464578662,1088684,1587200,842703,1172862.333,379319.7063,EC_B
5,3.05,3.7,2.8,3.183333333,0.464578662,311594,292249,,301921.5,13678.98068,EC_B
6,3,3.75,2.85,3.2,0.482182538,280053,566799,336201,394351,151960.1395,EC_B
7,3,3.7,3.05,3.25,0.390512484,95771,275535,507832,293046,206587.8585,EC_B
8,3.05,4.25,3.45,3.583333333,0.611010093,0,352784,212802,188528.6667,177640.1804,EC_B
24,4.1,3.8,4.25,4.05,0.229128785,0,0,0,0,0,EC_B
0,0.1,0.1,0.1,0.1,1.69967E-17,0,0,0,0,0,EC_B
1,0.4,0.85,0.35,0.533333333,0.275378527,0,0,0,0,0,EC_B
2,1.3,1.65,0.95,1.3,0.35,0,0,0,0,0,EC_B
3,2,3,2.8,2.6,0.529150262,0,0,0,0,0,EC_B
4,3.05,3.7,2.8,3.183333333,0.464578662,0,0,0,0,0,EC_B
5,3.05,3.7,2.8,3.183333333,0.464578662,0,0,0,0,0,EC_B
6,3,3.75,2.85,3.2,0.482182538,0,0,0,0,0,EC_B
7,3,3.7,3.05,3.25,0.390512484,0,0,0,0,0,EC_B
8,3.05,4.25,3.45,3.583333333,0.611010093,0,0,0,0,0,EC_B
24,4.1,3.8,4.25,4.05,0.229128785,0,0,0,0,0,EC_B
0,0.1,0.1,0.1,0.1,1.69967E-17,0,0,0,0,0,EC_A
1,0.25,0.45,0.35,0.35,0.1,0,0,0,0,0,EC_A
2,0.85,0.9,0.95,0.9,0.05,0,0,141790,47263.33333,81862.49467,EC_A
3,1.4,1.8,1.55,1.583333333,0.202072594,118457,0,179577,99344.66667,91301.34553,EC_A
4,1.8,1.95,1.75,1.833333333,0.1040833,298695,102338,212513,204515.3333,98422.50691,EC_A
5,1.8,2,1.9,1.9,0.1,177987,265635,776031,406551,322966.1682,EC_A
6,1.8,2,1.9,1.9,0.1,296520,732837,1332770,787375.6667,520273.3563,EC_A
7,1.8,2,1.9,1.9,0.1,890141,744557,1561825,1065507.667,435943.628,EC_A
8,1.8,2.3,2.3,2.133333333,0.288675135,939807,143877,946370,676684.6667,461436.643,EC_A
24,2.9,3.6,3.9,3.466666667,0.513160144,474282,1222562,2042945,1246596.333,784607.6336,EC_A
0,0.1,0.1,0.1,0.1,1.69967E-17,0,0,0,0,0,EC_A
1,0.25,0.45,0.35,0.35,0.1,1202673,863695,2263391,1443253,730202.9002,EC_A
2,0.85,0.9,0.95,0.9,0.05,3202173,4499495,6869789,4857152.333,1859782.476,EC_A
3,1.4,1.8,1.55,1.583333333,0.202072594,4453227,12945066,19438029,12278774,7514587.914,EC_A
4,1.8,1.95,1.75,1.833333333,0.1040833,9361159,19912653,15920749,15064853.67,5327562.672,EC_A
5,1.8,2,1.9,1.9,0.1,3285338,3930607,21000198,9405381,10046587.93,EC_A
6,1.8,2,1.9,1.9,0.1,5145995,11199554,6495784,7613777.667,3177865.088,EC_A
7,1.8,2,1.9,1.9,0.1,5589966,15243568,2991858,7941797.333,6455573.75,EC_A
8,1.8,2.3,2.3,2.133333333,0.288675135,4509440,2449775,910819,2623344.667,1805578.328,EC_A
24,2.9,3.6,3.9,3.466666667,0.513160144,0,6905938,362451,2422796.333,3886741.834,EC_A
0,0.1,0.1,0.1,0.1,1.69967E-17,0,0,0,0,0,EC_B
1,0.4,0.85,0.35,0.533333333,0.275378527,539308,736491,2389536,1221778.333,1016102.239,EC_B
2,1.3,1.65,0.95,1.3,0.35,2081943,2791742,11053809,5309164.667,4987650.503,EC_B
3,2,3,2.8,2.6,0.529150262,12170383,9891801,14159112,12073765.33,2135295.535,EC_B
4,3.05,3.7,2.8,3.183333333,0.464578662,21161395,20433365,12987252,18194004,4523848.662,EC_B
5,3.05,3.7,2.8,3.183333333,0.464578662,19925761,11369535,3867480,11720925.33,8034905.323,EC_B
6,3,3.75,2.85,3.2,0.482182538,19378358,23761856,10162506,17767573.33,6941293.146,EC_B
7,3,3.7,3.05,3.25,0.390512484,19798869,21881122,19217923,20299304.67,1400351.428,EC_B
8,3.05,4.25,3.45,3.583333333,0.611010093,17064569,20072652,14359416,17165545.67,2857956.195,EC_B
24,4.1,3.8,4.25,4.05,0.229128785,47397291,11434867,1006463,19946207,24338434.87,EC_B
0,0.1,0.1,0.1,0.1,1.69967E-17,0,0,0,0,0,EC_A
1,0.25,0.45,0.35,0.35,0.1,0,0,262443,87481,151521.5367,EC_A
2,0.85,0.9,0.95,0.9,0.05,7284535,3256046,7238001,5926194,2312533.051,EC_A
3,1.4,1.8,1.55,1.583333333,0.202072594,13700439,13448056,14398231,13848908.67,492179.4023,EC_A
