Time (h),OD_A,OD_B,OD_C,OD_AVG,OD_SD,Time ,A,B,C,Abundance,SD,Strain
0.00,1E-01,0.1,0,0,0,0,0,0,0,0,0,PA.B
1.00,2E-01,0.1,0.15,0.15,0.05,1,0,0,0,0,0,PA.B
2.00,5E-01,0.1,0.3,0.283333333,0.175594229,2,0,0,0,0,0,PA.B
3.00,5E-01,0.25,0.3,0.333333333,0.1040833,3,0,0,0,0,0,PA.B
4.00,5E-01,0.45,0.55,0.5,0.05,4,0,64938,0,21646,37491.97178,PA.B
5.00,7E-01,0.5,0.75,0.65,0.132287566,5,0,70777,0,23592.33333,40863.12,PA.B
6.00,1E+00,0.95,0.85,0.933333333,0.076376262,6,0,,0,0,0,PA.B
7.00,1E+00,0.95,1.2,1.083333333,0.125830574,7,0,116201,0,38733.66667,67088.67863,PA.B
8.00,1E+00,1.45,1.35,1.416666667,0.057735027,8,0,402517,0,134172.3333,232393.2983,PA.B
24.00,3E+00,2.4,2.7,2.733333333,0.351188458,24,2493601,178529,690891,1121007,1215993.183,PA.B
0.00,1E-01,0.1,0.1,0.1,1.69967E-17,0,0,0,0,0,0,PA.A
1.00,1E-01,0.1,0.1,0.1,1.69967E-17,1,0,0,0,0,0,PA.A
2.00,1E-01,0.3,0.3,0.233333333,0.115470054,2,0,0,0,0,0,PA.A
3.00,2E-01,0.55,0.4,0.366666667,0.202072594,3,0,0,0,0,0,PA.A
4.00,3E-01,0.6,0.55,0.466666667,0.189296945,4,0,0,0,0,0,PA.A
5.00,4E-01,0.6,0.55,0.5,0.132287566,5,0,0,0,0,0,PA.A
6.00,4E-01,0.6,0.55,0.5,0.132287566,6,0,0,0,0,0,PA.A
7.00,6E-01,0.6,0.8,0.65,0.132287566,7,0,0,0,0,0,PA.A
8.00,7E-01,0.6,0.9,0.733333333,0.152752523,8,0,0,0,0,0,PA.A
24.00,5E+00,2,2.7,3.066666667,1.289702808,24,106469,0,0,35489.66667,61469.90581,PA.A
0.00,1E-01,0.1,0.1,0.1,1.69967E-17,0,0,0,0,0,0,PA.B
1.00,2E-01,0.1,0.15,0.15,0.05,1,0,0,0,0,0,PA.B
2.00,5E-01,0.1,0.3,0.283333333,0.175594229,2,0,0,0,0,0,PA.B
3.00,5E-01,0.25,0.3,0.333333333,0.1040833,3,0,0,0,0,0,PA.B
4.00,5E-01,0.45,0.55,0.5,0.05,4,0,0,0,0,0,PA.B
5.00,7E-01,0.5,0.75,0.65,0.132287566,5,0,0,0,0,0,PA.B
6.00,1E+00,0.95,0.85,0.933333333,0.076376262,6,0,0,0,0,0,PA.B
7.00,1E+00,0.95,1.2,1.083333333,0.125830574,7,0,0,0,0,0,PA.B
8.00,1E+00,1.45,1.35,1.416666667,0.057735027,8,0,0,0,0,0,PA.B
24.00,3E+00,2.4,2.7,2.733333333,0.351188458,24,1043364,284059,542232,623218.3333,386076.5603,PA.B
0.00,1E-01,0.1,0.1,0.1,1.69967E-17,0,0,0,0,0,0,PA.A
1.00,1E-01,0.1,0.1,0.1,1.69967E-17,1,0,0,0,0,0,PA.A
2.00,1E-01,0.3,0.3,0.233333333,0.115470054,2,0,0,0,0,0,PA.A
3.00,2E-01,0.55,0.4,0.366666667,0.202072594,3,0,0,0,0,0,PA.A
4.00,3E-01,0.6,0.55,0.466666667,0.189296945,4,0,0,0,0,0,PA.A
5.00,4E-01,0.6,0.55,0.5,0.132287566,5,0,0,0,0,0,PA.A
6.00,4E-01,0.6,0.55,0.5,0.132287566,6,0,0,0,0,0,PA.A
7.00,6E-01,0.6,0.8,0.65,0.132287566,7,0,0,0,0,0,PA.A
8.00,7E-01,0.6,0.9,0.733333333,0.152752523,8,0,0,0,0,0,PA.A
24.00,5E+00,2,2.7,3.066666667,1.289702808,24,181521,136629,0,106050,94545.09396,PA.A
0.00,1E-01,0.1,0.1,0.1,1.69967E-17,0,0,0,0,0,0,PA.B
1.00,2E-01,0.1,0.15,0.15,0.05,1,0,0,0,0,0,PA.B
2.00,5E-01,0.1,0.3,0.283333333,0.175594229,2,0,0,0,0,0,PA.B
3.00,5E-01,0.25,0.3,0.333333333,0.1040833,3,0,0,0,0,0,PA.B
4.00,5E-01,0.45,0.55,0.5,0.05,4,0,0,0,0,0,PA.B
5.00,7E-01,0.5,0.75,0.65,0.132287566,5,0,0,0,0,0,PA.B
6.00,1E+00,0.95,0.85,0.933333333,0.076376262,6,0,0,0,0,0,PA.B
7.00,1E+00,0.95,1.2,1.083333333,0.125830574,7,0,0,0,0,0,PA.B
8.00,1E+00,1.45,1.35,1.416666667,0.057735027,8,0,0,0,0,0,PA.B
24.00,3E+00,2.4,2.7,2.733333333,0.351188458,24,432816,158238,440318,343790.6667,160737.0962,PA.B
0.00,1E-01,0.1,0.1,0.1,1.69967E-17,0,0,0,0,0,0,PA.A
1.00,1E-01,0.1,0.1,0.1,1.69967E-17,1,0,0,0,0,0,PA.A
2.00,1E-01,0.3,0.3,0.233333333,0.115470054,2,0,0,0,0,0,PA.A
3.00,2E-01,0.55,0.4,0.366666667,0.202072594,3,0,0,0,0,0,PA.A
4.00,3E-01,0.6,0.55,0.466666667,0.189296945,4,0,0,0,0,0,PA.A
5.00,4E-01,0.6,0.55,0.5,0.132287566,5,0,0,0,0,0,PA.A
6.00,4E-01,0.6,0.55,0.5,0.132287566,6,0,0,0,0,0,PA.A
7.00,6E-01,0.6,0.8,0.65,0.132287566,7,0,0,0,0,0,PA.A
